genus,epitet,author
Acanthophyllum,,
Acanthophyllum,kurdicum,Boiss. et Hausskn.
Aceras,,
Aceras,qffinis,Boiss.
Aceras,anthropophora,(L.) R. Br.
Aceras,hircina,(L.) Lindl.
Aceras,pyramidalis,(L.) Reichb.
Achyranthes,,
Achyranthes,aspera,L.
Achyranthes,argentea,Lam.
Acrostichutn,,
Acrostichutn,marantae,L.
Acrostichutn,velleum,Ait.
Adiantum,,
Adiantum,capillus-veneris,L.
Aegilops,,
Aegilops,aucheri,Boiss.
Aegilops,bicornis,(Forsk.) Jaub. et Spach
Aegilops,biuncialis,Vis.
Aegilops,caudata,L.
Aegilops,columnaris,Zhuk.
Aegilops,crassa,Boiss.
Aegilops,cylindrica,Host
Aegilops,çylindrostachys,Eig et Fein.br.
Aegilops,incurva,L.
Aegilops,incurvata,L.
Aegilops,juvenali∫,Thell.
Aegilops,kotschyi,Boiss.
Aegilops,ligustica,Sav.
Aegilops,longissima,Schw. et Muschl.
Aegilops,lorentii,Hoschstt.
Aegilops,ovata,L.
Aegilops,peregrina(Hack.),Maire et Weiller
Aegilops,sharonensis,Eig
Aegilops,speltoides,Tausch
Aegilops,squarrosa,L.
Aegilops,triaristata,Willd.
Aegilops,triuncialis,L.
Aegilops,umbeUulata,Zhuk.
Aegilops,variabilis,Eig.
Aegilops,ventricosa,Tausch
Aegilotricum,,
Aegilotricum,loreti,(Richt.) Maire et Weiller
Aellenia,,
Aellenia,glauc,(Bieb.) Aellen
Aellenia,hierochuntica,Bornm.) Aellen
Aeluropus,,
Aeluropus,lagopoides,L.) Druce
Aeluropus,littoralis,(Gouan) Pari.
AgropyrQn,,
AgropyrQn,aucheri,Boiss.
AgropyrQn,buonapartis,Spreng.
AgropyrQn,distans,C. Koch
AgropyrQn,elongatum,(Host) Beauv.
AgropyrQn,junceum,(L.) Beauv.
AgropyrQn,lasianthum,Boiss.
AgropyrQn,libanoticum,Hack.
AgropyrQn,ligusticum,Bert.
AgropyrQn,panormitanum,Pari.
AgropyrQn,repens,(L.) Desv.
AgropyrQn,squarrosum,(Roth) Link
Agrostemma,,
Agrostemma,caeli-rosa,L..
Agrostemma,githago,L.
Agrostis,,
Agrostis,alba,auct.
Agrostis,arenaria,Gouan
Agrostis,bromoides,L.
Agrostis,castellana,Boiss. et Reut.
Agrostis,holciformis,M. Bieb.
Agrostis,interrupta,L.
Agrostis,miliacea,L.
Agrostis,pungens,Schreb.
Agrostis,scabriglumis,Boiss. et Reut.
Agrostis,semiverticillata,(Forsk.) Christ.
Agrostis,stolonifera,L.
Agrostis,ventricosa,Gouan
Agrostis,verticillata,Vill.
Aira,,
Aira,aquatica,L.
Aira,articulata,Desf.
Aira,caerulea,L.
Aira,capillaris,Host
Aira,elegans,Willd.
Aira,humilis,M. Bieb.
Aira,insularis,(Pari.) Bornm.
Airopsis,,
Airopsis,insularis,(Pari.) Nym.
Aizoon,,
Alisma,,
Alisma,arcuatum,Michalet
Alisma,damasonium,L.
Alisma,gramineum,Gmel.
Alisma,graminifolium,Ehrh.
Alisma,lanceolatum,Whit.
Alisma,plantago-aquatica,L.
Alisma,ranunculoides,L.
Allium,,
Allium,affine,Ledeb.
Allium,ampeloprasum,L.
Allium,artemisietorum,Feinbr.
Allium,arvense,Guss.
Allium,aschersonianum,W. Barb.
Allium,asclepiadeum,Bornm.
Allium,azaurenum,Gomb.
Allium,bassitense,Thiéb.
Allium,calyptratum,Boiss.
Allium,carmeli,Boiss.
Allium,cassium,Boiss.
Allium,cepa,L.
Allium,chloranthum,Boiss.
Allium,chrysantherum,Boiss. et Reut.
Allium,cilicium,Boiss.
Allium,coppoleri,Tineo
Allium,curtum,Boiss. et Gaill.
Allium,damascenum,Feinbr.
Allium,descendens,Sibth. et Smith
Allium,de∫er˛i,syriaci Feinbr.
Allium,dicïyoprasum,C. A. Mey.
Allium,drusorum,Feinbr.
Allium,emarginatum,Rech.
Allium,erdelii,Zucc.
Allium,eriophyllum,Boiss.
Allium,feinbergii,Oppenh.
Allium,graecum,d'Urv.
Allium,haussknechtii,Nabelek
Allium,hierochuntinum,Boiss.
Allium,hirsutum,Zucc.
Allium,karyateini,Post
Allium,laceratum,Boiss. et Noë
Allium,libani,Boiss.
Allium,lycaonicum,Siehe
Allium,macrochaetum,Boiss. et Hausskn.
Allium,makmelianum,Post
Allium,margaritaceum,Ledeb.
Allium,myrianthum,Boiss.
Allium,neapolitanum,Cyr.
Allium,nigrum,L.
Allium,noëanum,Reut.
Allium,olivieri,Boiss.
Allium,opacum,Rech.
Allium,orientale,Boiss.
Allium,pollens,L.
Allium,paniculatum,L.
Allium,phanerantherum,Boiss.
Allium,porrum,L.
Allium,pseudocalyptratum,Moût.
Allium,pseudophanerantherum,Rech. fil.
Allium,qasyunense,Moût.
Allium,rothii,Zucc.
Allium,rotundum,L.
Allium,rupicolum,ﬁoiss.
Allium,sannineum,Gomb.
Allium,sativum,L.
Allium,schergianum,Boiss.
Allium,schuberti,Zucc.
Allium,scorodoprasum,L.
Allium,sindjarense,Boiss. et Hausskn.
Allium,sphuencephalum,L.
Allium,stamineum,Boiss.
Allium,stenopetalum,Boiss. et Ky
Allium,subhirsutum,L.
Allium,telavivense,Eig
Allium,trifoliatum,Cyr.
Allium,vineale,L.
Allium,viridi-album,Tineo
Allium,wiedemannianum,Regel
Allium,zebdanense,Boiss. et Noë
Alnus,,
Alnus,orientalis,Decne
Aloe,,
Aloe,vera,L.
Alopecurus,,
Alopecurus,agrestis,L.
Alopecurus,anthoxanthoides,Boiss.
Alopecurus,arundinacea,Poir.
Alopecurus,gerardi,(Ail.) Vill.
Alopecurus,involucratus,Post
Alopecurus,monspeliensis,L.
Alopecurus,myosuroides,Huds.
Alopecurus,nigricans,Hornem
Alopecurus,pratensis,L.
Alopecurus,vaginatus,(Willd.) Pali.
