page_num,genus,epithet,infra,author,taxon rank
703,Acacia,,,,genus
703,Acacia,albida,,Del. ,species
703,Acacia,cyanophylla,,Lindl. ,species
703,Acacia,farnesiana,,(L.) Willd. ,species
703,Acacia,seyal,,Del. ,species
703,Acacia,spirocarpa,,Hochstt. ,species
703,Acacia,tortilis,,Hayne ,species
703,Acer,,,,genus
703,Acer,hermoneum,,Bornm. et Schw. ,species
703,Acer,kyrcanum,,Fisch. et Mey. ,species
703,Acer,monspessulanum,,L. ,species
703,Acer,syriacum,,Boiss. et Gaill. ,species
703,Acer,tauricolum,,Boiss. et Bal. ,species
703,Actinolema,,,,genus
703,Actinolema,eryngioides,,Fenzl ,species
703,Actinolema,macrolema,,Boiss. ,species
703,Adenocarpus,,,,genus
703,Adenocarpus,complicatus,,(L.) J. Gay ,species
703,Adenocarpus,divaricatus,,(L'Hér.) Boiss. ,species
703,Adenocarpus,intermedius,,D.C. ,species
703,Adenotrias,,,,genus
703,Adenotrias,kotsckyi,,Jaub. et Spach ,species
703,Adenotrias,phrygia,,Jaub. et Spach ,species
703,Adonis,,,,genus
703,Adonis,aestivalis,,L. ,species
703,Adonis,aleppica,,Boiss. ,species
703,Adonis,annua,,L. ,species
703,Adonis,autumnalis,,L. ,species
703,Adonis,cupatdana,,Guss. ,species
703,Adonis,dentata,,Del. ,species
703,Adonis,eriocalycina,,Boiss. ,species
703,Adonis,flammea,,Jacqu. ,species
703,Adonis,microcarpa,,D.C. ,species
703,Aegilops,,,,genus
703,Aegilops,biuncialis,,Vis. ,species
703,Aegilops,lorentii,,Hochstt. ,species
703,Aegilops,squarrosa,,L. ,species
703,Aegilops,tauschii,,Cosson ,species
703,Aethionema,,,,genus
703,Aethionema,arabicum,,(L.) Cràntz ,species
703,Aethionema,armenum,,Boiss. ,species
703,Aethionema,buxbaumii,,Fisch. ,species
703,Aethionema,campylopterum,,Boiss. ,species
703,Aethionema,capitatum,,Boiss. et Bal. ,species
703,Aethionema,carneum,,(Banks et Sol.) Fisch ,species
703,Aethionema,cordatum,,(Desf.) Boiss. ,species
703,Aethionema,coridifolium,,D.C. ,species
703,Aethionema,heterocarpum,,J. Gay ,species
703,Aethionema,lignosum,,Boiss. et Hausskn. ,species
703,Aethionema,longistylum,,Post ,species
703,Aethionema,oppositifolium,,(Lab.) Boiss. ,species
703,Aethionema,polygaloides,,Ledeb. ,species
703,Aethionema,spicatum,,Post ,species
703,Aethionema,syriacum,,(Boiss.) Hd.-Mz. ,species
703,Agrimonia,,,,genus
703,Agrimonia,eupatoria,,L. ,species
703,Agrimonia,odorata,,Mill. ,species
703,Agropyron,,,,genus
703,Agropyron,aucheri,,Boiss. ,species
703,Agropyron,trichophorum,,(Link) Richt. ,species
703,Agrostis,,,,genus
703,Agrostis,semiverticillata,,(Forssk.) Christ. ,species
703,Ailanthus,,,,genus
703,Ailanthus,altissima,,(Mill.) Swingle ,species
703,Ailanthus,glandulosa,,Desf. ,species
703,Ainsworthia,,,,genus
703,Ainsworthia,cordata,,(Jacqu.) Boiss. ,species
703,Ainsworthia,trachycarpa,,Boiss. ,species
703,Alcea,,,,genus
703,Alcea,acaulis,,(Cav.) Alef. ,species
703,Alcea,apterocarpa,,Fenzl ,species
703,Alcea,chrysantha,,(Sam.) Zoh. ,species
703,Alcea,damascena,,(Mout.) Mout. ,species
703,Alcea,digitata,,(Boiss.) Alef. ,species
703,Alcea,dissecta,,(^aker) Zoh. ,species
703,Alcea,galilaea,,Zoh. ,species
703,Alcea,haussknechtii,,Boiss. ,species
703,Alcea,hohenackeri,,(Boiss. et Huet) Boiss. ,species
703,Alcea,kurdica,,(Schlecht.) Alef. ,species
703,Alcea,lavateriflora,,(D.C.) Boiss. ,species
703,Alcea,leiocarpa,,(Sam.) Mout. ,species
703,Alcea,pallida,,Waldst. et Kit. ,species
703,Alcea,remotiflora,,(Boiss. et Heldr.) Alef. ,species
703,Alcea,rhyticarpa,,(Trautv.) Iljin ,species
703,Alcea,rosea,,L. ,species
703,Alcea,rufescens,,Boiss. ,species
703,Alcea,setosa,,(Boiss.) Alef. ,species
703,Alcea,striata,,(D.C.) Alef. ,species
703,Alcea,sulphured,,'(Boiss. et Hausskn.) Alef. ,species
703,Alchemilla,,,,genus
703,Alchemilla,aphanes,,Desf. ,species
703,Alchemilla,arvensis,,(L.) Scop. ,species
703,Alchemilla,diademata,,Rothm. ,species
704,Alchemilla,noribunda,,Murb. ,species
704,Alchemilla,microcarpa,,Boiss. et Reut. ,species
704,Alhagi,,,,genus
704,Alhagi,camelorum,,Fisch. ,species
704,Alhagi,mannifera,,Desf. ,species
704,Alhagi,maurorum,,Willd. ,species
704,Alhagi,pseudalhâgi,,(Bieb.) Desf. ,species
704,Alliaria,,,,genus
704,Alliaria,officinalis,,Andrz. ,species
704,Alliaria,petiolata,,(Bieb.) Cav. et Grande ,species
704,Allium,,,,genus
704,Allium,asclepiadeum,,Bornm. ,species
704,Allium,birkinshawii,,Moût. ,species
704,Allium,myrianthum,,Boiss. ,species
704,Allium,orientale,,Boiss. ,species
704,Alopecurus,,,,genus
704,Alopecurus,anthoxanthoides,,Boiss. ,species
704,Alopecurus,arundinaceus,,Poir. ,species
704,Alopecurus,utriculatus,,Banks et Sol. ,species
704,Alopecurus,ventricosus,,Pers. ,species
704,Althaea,,,,genus
704,Althaea,acaulis,,Cav. ,species
704,Althaea,apterocarpa,,Fenzl ,species
704,Althaea,bertrami,,Post et Beauv. ,species
704,Althaea,cannabina,,L. ,species
704,Althaea,chrysantha,,Sam. ,species
704,Althaea,damascena,,Moût. ,species
704,Althaea,digitala,,Boiss. ,species
704,Althaea,disserta,,Baker ,species
704,Althaea,haussknechtii,,(Boiss.) Benth. ,species
704,Althaea,hirsuta,,L. ,species
704,Althaea,hohenackeri,,"Boiss, et Huet ",species
704,Althaea,kotschyi,,Boiss. ,species
704,Althaea,kurdica,,Schlecht. ,species
704,Althaea,leiocarpa,,Sam. ex Rech. fil. ,species
704,Althaea,ludwigii,,L. ,species
704,Althaea,octaviae,,Reut. ex Oppenh. ,species
704,Althaea,officinalis,,L. ,species
704,Althaea,pallida,,Waldst. et Kit. ,species
704,Althaea,remotiflora,,Boiss. et Heldr. ,species
704,Althaea,rhyticarpa,,Trautv. ,species
704,Althaea,rosea,,(L.) Cav. ,species
704,Althaea,rufescens,,Boiss. ,species
704,Althaea,setosa,,Boiss. ,species
704,Althaea,striata,,D.C. ,species
704,Althaea,sulphurea,,Boiss. et Hausskn. ,species
704,Alyssum,,,,genus
704,Alyssum,alpestre,,L. ,species
704,Alyssum,alyssoides,,L. ,species
704,Alyssum,antilibanoticum,,Rech. fil. ,species
704,Alyssum,argenteum,,Ung. ,species
704,Alyssum,aureum,,(Fenzl) Boiss. ,species
704,Alyssum,baumgartnerianum,,Bornm. ,species
704,Alyssum,calycinum,,L. ,species
704,Alyssum,campestre,,L. ,species
704,Alyssum,cassium,,Boiss. ,species
704,Alyssum,clypeatum,,L. ,species
704,Alyssum,condensation,,Boiss. et Hoh. ,species
704,Alyssum,contemptum,,Schott et Ky ,species
704,Alyssum,crenulatum,,Boiss. ,species
704,Alyssum,damascenum,,Boiss. et Gaill. ,species
704,Alyssum,dasycarpum,,Steph. ,species
704,Alyssum,degenianum,,Nyaradi ,species
704,Alyssum,desertorum,,Stapf ,species
704,Alyssum,dubertretii,,Gombault ,species
704,Alyssum,filifolium,,Wahlenb. ,species
704,Alyssum,flexibile,,Nyaradi ,species
704,Alyssum,haradjianii,,Rech. fil. ,species
704,Alyssum,hirsutum,,Auct. ,species
704,Alyssum,homalocarpum,,(F. et M.) Boiss. ,species
704,Alyssum,iranicum,,Bornm. ,species
704,Alyssum,lepidoto-stellatum,,(Hausskn.) Dudley ,species
704,Alyssum,libanoticum,,Nyaradi ,species
704,Alyssum,macrostylum,,Boiss. et Huet ,species
704,Alyssum,marginatum,,Steud. ,species
704,Alyssum,maritimum,,(L.) Lam. ,species
704,Alyssum,meniocoides,,Boiss. ,species
704,Alyssum,minimum,,L. ,species
704,Alyssum,minimum,,Willd. ,species
704,Alyssum,minus,,(L.) Rothm. ,species
704,Alyssum,minutum,,Schlecht. ,species
704,Alyssum,montanum,,Auct. ,species
704,Alyssum,mouradicum,,Boiss. et Bal. ,species
704,Alyssum,murale,,Waldst. et Kit. ,species
704,Alyssum,oxycarpum,,Boiss. et Bal. ,species
704,Alyssum,parviflorum,,Bieb. ,species
704,Alyssum,pyramidatulum,,Bornm. ,species
704,Alyssum,repens,,Baumg. ,species
704,Alyssum,samariferum,,Boiss. et Hausskn. ,species
704,Alyssum,serpyllifolium,,Desv. ,species
704,Alyssum,singarense,,Boiss. et Hausskn. ,species
704,Alyssum,stapffii,,Vierh. ,species
704,Alyssum,stribrnyi,,Velen. ,species
704,Alyssum,strictum,,Willd. ,species
704,Alyssum,strigosum,,Banks et Sol. ,species
704,Alyssum,subspinosum,,Dudley ,species
704,Alyssum,sulphureum,,Dudl. et Huber-Morath ,species
704,Alyssum,syriacum,,Nyaradi ,species
704,Alyssum,szowitsianum,,Fisch. et Mey. ,species
704,Alyssum,tetrastemon,,Boiss. ,species
704,Alyssum,trochocarpum,,Fenz ,species
704,Alyssum,umbellatum,,Desv. ,species
704,Alyssum,vesicaria,,L. ,species
704,Alyssum,xanthocarpum,,Boiss. et Huet ,species
704,Amaranthus,,,,genus
704,Amaranthus,albus,,L. ,species
704,Amaranthus,blitoides,,C. Wats. ,species
704,Amaranthus,deflexus,,L. ,species
704,Amaranthus,hybridus,,L. ,species
704,Amelanchier,,,,genus
704,Amelanchier,ovalis,,Medik. ,species
