level_0,index,in_x0,in_y0,in_x1,in_y1,word,block_no,line_no,word_no,page_num,genus,draw_genus,epithet,draw_epithet,author,draw_author,infra,draw_infra,taxon rank,error_check,x0,y0,x1,y1,col_no,indent_group
0,0,166.8000030517578,26.6500244140625,212.20687866210938,35.6500244140625,NOUVELLE,0,0,0,638,,,FLORE,,FLORE ,,,,species,True,695.0000127156576,111.04176839192708,884.1953277587891,148.5417683919271,0.0,0.0
1,1,217.92050170898438,26.6500244140625,245.3966827392578,35.6500244140625,FLORE,0,0,1,638,,,,nan_FLORE_0_0,,author_0_0,,,,,908.0020904541016,111.04176839192708,1022.4861780802408,148.5417683919271,0.0,0.0
2,3,14.399999618530273,51.3699951171875,40.296627044677734,60.3699951171875,Vulpia,1,0,0,638,,,,,,,,,,,59.99999841054281,214.0416463216146,167.90261268615723,251.5416463216146,0.0,1.0
3,4,28.079999923706055,60.010009765625,49.904319763183594,69.010009765625,brevis,2,0,0,638,,,Boiss.,,Boiss. ,,,,species,,116.99999968210857,250.04170735677084,207.93466567993164,287.5417073567708,0.0,2.0
4,5,51.40298843383789,60.010009765625,72.94908142089844,69.010009765625,Boiss.,2,0,1,638,,,,nan_Boiss._2_0,,author_2_0,,,,,214.17911847432455,250.04170735677084,303.95450592041016,287.5417073567708,0.0,2.0
5,6,28.079999923706055,69.3699951171875,66.0794448852539,78.3699951171875,bromoides,2,1,0,638,,,(L.),,(L.) Gray ,,,,species,True,116.99999968210857,289.04164632161456,275.3310203552246,326.54164632161456,0.0,2.0
6,7,67.57830047607422,69.3699951171875,81.73207092285156,78.3699951171875,(L.),2,1,1,638,,,,nan_(L.)_2_1,,author_2_1,,,,,281.5762519836426,289.04164632161456,340.55029551188153,326.54164632161456,0.0,2.0
7,8,83.2322998046875,69.3699951171875,102.35099792480469,78.3699951171875,Gray,2,1,2,638,,,,,,author_2_1,,,,,346.80124918619794,289.04164632161456,426.46249135335285,326.54164632161456,0.0,2.0
8,9,27.84000015258789,79.41998291015625,51.06587219238281,89.41998291015625,ciliata,2,2,0,638,,,(Pers.),,(Pers.) Link ,,,,species,,116.00000063578288,330.9165954589844,212.77446746826172,372.58326212565106,0.0,2.0
9,10,54.894718170166016,79.41998291015625,78.93199920654297,89.41998291015625,(Pers.),2,2,1,638,,,,nan_(Pers.)_2_2,,author_2_2,,,,,228.72799237569174,330.9165954589844,328.8833300272624,372.58326212565106,0.0,2.0
10,11,82.98399353027344,79.41998291015625,100.98119354248047,89.41998291015625,Link,2,2,2,638,,,,,,author_2_2,,,,,345.76663970947266,330.9165954589844,420.75497309366864,372.58326212565106,0.0,2.0
11,12,27.84000015258789,88.53997802734375,70.49078369140625,98.53997802734375,dertonensis,2,3,0,638,,,(All.),,(All.) Gola ,,,,species,,116.00000063578288,368.9165751139323,293.7115987141927,410.58324178059894,0.0,2.0
12,13,74.08784484863281,88.53997802734375,94.08592224121094,98.53997802734375,(All.),2,3,1,638,,,,nan_(All.)_2_3,,author_2_3,,,,,308.69935353597003,368.9165751139323,392.0246760050456,410.58324178059894,0.0,2.0
13,14,97.68485260009766,88.53997802734375,116.41827392578125,98.53997802734375,Gola,2,3,2,638,,,,,,author_2_3,,,,,407.02021916707355,368.9165751139323,485.0761413574219,410.58324178059894,0.0,2.0
14,15,27.600000381469727,97.65997314453125,69.8716049194336,107.65997314453125,hirtiglumis,2,4,0,638,,,Boiss.,,Boiss. ,,,,species,,115.0000015894572,406.9165547688802,291.13168716430664,448.5832214355469,0.0,2.0
15,16,71.81832122802734,97.65997314453125,93.58346557617188,107.65997314453125,Boiss.,2,4,1,638,,,,nan_Boiss._2_4,,author_2_4,,,,,299.2430051167806,406.9165547688802,389.9311065673828,448.5832214355469,0.0,2.0
16,17,27.84000015258789,108.219970703125,48.376163482666016,118.219970703125,inops,2,5,0,638,,,(Del.),,(Del.) Hack. ,,,,species,,116.00000063578288,450.9165445963542,201.56734784444174,492.5832112630208,0.0,2.0
17,18,51.86235046386719,108.219970703125,73.5186767578125,118.219970703125,(Del.),2,5,1,638,,,,nan_(Del.)_2_5,,author_2_5,,,,,216.09312693277994,450.9165445963542,306.32781982421875,492.5832112630208,0.0,2.0
18,19,77.44197082519531,108.219970703125,100.30304718017578,118.219970703125,Hack.,2,5,2,638,,,,,,author_2_5,,,,,322.6748784383138,450.9165445963542,417.9293632507324,492.5832112630208,0.0,2.0
19,20,28.079999923706055,117.82000732421875,82.23847961425781,127.82000732421875,membranacea,2,6,0,638,,,(L.),,(L.) Link ,,,,species,True,116.99999968210857,490.9166971842448,342.6603317260742,532.5833638509115,0.0,2.0
20,21,85.73271942138672,117.82000732421875,100.15214538574219,127.82000732421875,(L.),2,6,1,638,,,,nan_(L.)_2_6,,author_2_6,,,,,357.219664255778,490.9166971842448,417.3006057739258,532.5833638509115,0.0,2.0
21,22,103.86261749267578,117.82000732421875,121.85979461669922,127.82000732421875,Link,2,6,2,638,,,,,,author_2_6,,,,,432.7609062194824,490.9166971842448,507.74914423624676,532.5833638509115,0.0,2.0
22,23,27.84000015258789,126.94000244140625,56.53160095214844,136.94000244140625,myuros,2,7,0,638,,,(L.),,(L.) C. C. Gmel. ,,,,species,True,116.00000063578288,528.9166768391927,235.5483373006185,570.5833435058594,0.0,2.0
23,24,59.75046920776367,126.94000244140625,73.99169921875,136.94000244140625,(L.),2,7,1,638,,,,nan_(L.)_2_7,,author_2_7,,,,,248.96028836568198,528.9166768391927,308.2987467447917,570.5833435058594,0.0,2.0
24,25,77.61502075195312,126.94000244140625,86.51214599609375,136.94000244140625,C.,2,7,2,638,,,,,,author_2_7,,,,,323.3959197998047,528.9166768391927,360.46727498372394,570.5833435058594,0.0,2.0
25,26,89.73262023925781,126.94000244140625,98.62974548339844,136.94000244140625,C.,2,7,3,638,,,,,,author_2_7,,,,,373.8859176635742,528.9166768391927,410.95727284749347,570.5833435058594,0.0,2.0
