page_num,genus,epithet,infra,author,taxon rank
637,Typha,,,,genus
637,Typha,,Bory,et Chaub. ,angustata
637,Typha,,L.,,angustifolia
637,Typha,,Schum.,et Thonn. ,australis
637,Typha,—latifolia,,L. ,species
637,Typha,—latifolia,Lepechin,,laxmannii
637,Typha,—latifolia,Fisch.,et Mey. ,stenophylla
637,Ulmus,,,,genus
637,Ulmus,,L.,,campestris
637,Ulmus,,Melville,,canescens
637,Ulmus,,Huds.,,glabra
637,Ulmus,,Mill.,,minor
637,Ulmus,,Willd.,,montana
637,Urginea,,,,genus
637,Urginea,,(L.),Baker ,maritima
637,Urginea,,Sternb.,,scilla
637,Urockloa,,,reptans (L.) Stapf ,genus
637,Urtica,,,,genus
637,Urtica,,Vahl,,caudata
637,Urtica,,L.,,dioica
637,Urtica,,Thiéb.,,fragilis
637,Urtica,,Feinbr.,,hulensis
637,Urtica,,Poir.,,membranacea
637,Urtica,,L.,,pilulifera
637,Urtica,,L.,,urens
637,Vaccaria,,,,genus
637,Vaccaria,,(Boiss.,et Hausskn.) Bornm. ,liniflora
637,Vaccaria,,Boiss.,,oxydonta
637,Vaccaria,,Mœnch,,parviflora
637,Vaccaria,,Medik.,,pyramidata
637,Vaccaria,,(Necker),Garcke ,segetalis
637,Vallisneria,,,,genus
637,Vallisneria,,L.,,spiralis
637,Velezia,,,,genus
637,Velezia,,Boiss.,,fasciculata
637,Velezia,,L.,,rigida
637,Ventenata,,,,genus
637,Ventenata,,Boiss.,,blanchei
637,Ventenata,,(Stev.),Boiss. ,macra
637,Viscum,,,,genus
637,Viscum,,L.,,album
637,Viscum,,Sieb.,,cruciatum
637,Viscum,,Boiss.,et Reut. ,laxum
