page_num,genus,epithet,infra,author,taxon rank
616,Acanthophyllum,,,,genus
616,Aceras,,,,genus
616,Achyranthes,,,,genus
616,Acrostichutn,,,,genus
616,Adiantum,,,,genus
616,Aegilops,,,,genus
616,Aegilotricum,,,,genus
616,Aellenia,,,,genus
616,Aeluropus,,,,genus
616,AgropyrQn,,,,genus
616,Agrostemma,,,,genus
616,Agrostis,,,,genus
616,Aira,,,,genus
616,Airopsis,,,,genus
616,Aizoon,,,,genus
616,Alisma,,,,genus
617,Allium,,,,genus
617,Alnus,,,,genus
617,Aloe,,,,genus
617,Alopecurus,,,,genus
617,Alsine,,,,genus
617,Alternanthera,,,,genus
618,Amaranthus,,,,genus
618,Amaryllis,,,,genus
618,Ammochloa,,,,genus
618,Ammophila,,,,genus
618,Anabasis,,,,genus
618,Anacamptis,,,,genus
618,Androcymbium,,,,genus
618,Andropogon,,,,genus
618,Ankyropetalum,,,,genus
618,Anagramme,,,,genus
618,Anthistiria,,,,genus
618,Anthoxanthum,,,,genus
618,Antinoria,,,,genus
618,Apera,,,,genus
618,Arceuthobium,,,,genus
618,Arceuthos,,,,genus
618,Arenaria,,,,genus
618,Arisarum,,,,genus
618,Aristella,,,,genus
618,Aristida,,,,genus
619,Aristolochia,,,,genus
619,Arrhenatherum,,,,genus
619,Arthrocnemum,,,,genus
619,Arum,,,,genus
619,Arundo,,,,genus
619,Asarum,,,,genus
619,Asparagus,,,,genus
619,Asphodeline,,,,genus
619,Asphodelusi,,,,genus
619,Aspidium,,,,genus
619,Asplenium,,,,genus
619,Athyrium,,,,genus
619,Atraphaxis,,,,genus
619,Atriplex,,,,genus
620,Atropis,,,,genus
620,Avena,,,,genus
620,Axyris,,,,genus
620,Baldingera,,,,genus
620,Bassia,,,,genus
620,Beckmannia,,,,genus
620,Behen,,,,genus
620,Bellevalia,,,,genus
620,Beta,,,,genus
620,Biarum,,,,genus
620,Flore,,,,genus
620,Bilderdykia,,,,genus
620,Blechnum,,,,genus
620,Blitum,,,,genus
620,Blysmus,,,,genus
620,Bœrhavia,,,,genus
620,Boissiera,,,,genus
620,Bolanthus,,,,genus
620,Bothriochloa,,,,genus
620,Brachiaria,,,,genus
620,Brachypodium,,,,genus
620,Briza,,,,genus
620,Bromus,,,,genus
621,Broussonetia,,,,genus
621,Buffonia,,,,genus
621,Bulbillaria,,,,genus
621,Butomus,,,,genus
621,Calamagrostis,,,,genus
621,Calligonum,,,,genus
621,Cannabis,,,,genus
621,Carex,,,,genus
621,Caroxylon,,,,genus
621,Carpinus,,,,genus
621,Carpobrotus,,,,genus
621,Castanea,,,,genus
621,Catabrosa,,,,genus
621,Catapodium,,,,genus
621,Caulinia,,,,genus
621,Cedrus,,,,genus
621,Celosia,,,,genus
621,Celtis,,,,genus
621,Cenchrus,,,,genus
622,Cephalanthera,,,,genus
622,Gerastium,,,,genus
622,Geterach,,,,genus
622,Cheilanthes,,,,genus
622,Chenolea,,,,genus
622,Chenopodium,,,,genus
622,Chrysopogon,,,,genus
622,Cladium,,,,genus
622,Colchicum,,,,genus
622,Colpodium,,,,genus
622,Comperia,,,,genus
622,Cornucopiae,,,,genus
622,Cornulaca,,,,genus
622,Corrigiola,,,,genus
622,Corylus,,,,genus
622,Corynephorus,,,,genus
622,Crithopsis,,,,genus
622,Crocus,,,,genus
623,Crypsis,,,,genus
623,Ctenopsis,,,,genus
623,Cucubalus,,,,genus
623,Cupressus,,,,genus
623,Çutandia,,,,genus
623,Cymbopogon,,,,genus
623,Cymodocea,,,,genus
623,Cynocrambe,,,,genus
623,Cynodon,,,,genus
623,Cynomorium,,,,genus
623,Cynosurus,,,,genus
623,Cyperus,,,,genus
623,•˛»»,,,,genus
623,.*»,,,,genus
623,Cystopteris,,,,genus
623,Cytinus,,,,genus
623,Dactylis,,,,genus
623,Dactyloctenium,,,,genus
623,Dactylon,,,,genus
623,Damasonium,,,,genus
623,Danaë,,,,genus
623,Dianthus,,,,genus
624,Dichoglottis,,,,genus
624,Digitaria,,,,genus
624,Dracunculus,,,,genus
