genus,epitet,author
Acacia,,
Acacia,albida,Del.
Acacia,cyanophylla,Lindl.
Acacia,farnesiana,(L.) Willd.
Acacia,seyal,Del.
Acacia,spirocarpa,Hochstt.
Acacia,tortilis,Hayne
Acer,,
Acer,hermoneum,Bornm. et Schw.
Acer,kyrcanum,Fisch. et Mey.
Acer,monspessulanum,L.
Acer,syriacum,Boiss. et Gaill.
Acer,tauricolum,Boiss. et Bal.
Actinolema,,
Actinolema,eryngioides,Fenzl
Actinolema,macrolema,Boiss.
Adenocarpus,,
Adenocarpus,complicatus,(L.) J. Gay
Adenocarpus,divaricatus,(L'Hér.) Boiss.
Adenocarpus,intermedius,D.C.
Adenotrias,,
Adenotrias,kotsckyi,Jaub. et Spach
Adenotrias,phrygia,Jaub. et Spach
Adonis,,
Adonis,aestivalis,L.
Adonis,aleppica,Boiss.
Adonis,annua,L.
Adonis,autumnalis,L.
Adonis,cupatdana,Guss.
Adonis,dentata,Del.
Adonis,eriocalycina,Boiss.
Adonis,flammea,Jacqu.
Adonis,microcarpa,D.C.
Aegilops,,
Aegilops,biuncialis,Vis.
Aegilops,lorentii,Hochstt.
Aegilops,squarrosa,L.
Aegilops,tauschii,Cosson
Aethionema,,
Aethionema,arabicum,(L.) Cràntz
Aethionema,armenum,Boiss.
Aethionema,buxbaumii,Fisch.
Aethionema,campylopterum,Boiss.
Aethionema,capitatum,Boiss. et Bal.
Aethionema,carneum,(Banks et Sol.) Fisch
Aethionema,cordatum,(Desf.) Boiss.
Aethionema,coridifolium,D.C.
Aethionema,heterocarpum,J. Gay
Aethionema,lignosum,Boiss. et Hausskn.
Aethionema,longistylum,Post
Aethionema,oppositifolium,(Lab.) Boiss.
Aethionema,polygaloides,Ledeb.
Aethionema,spicatum,Post
Aethionema,syriacum,(Boiss.) Hd.-Mz.
Agrimonia,,
Agrimonia,eupatoria,L.
Agrimonia,odorata,Mill.
Agropyron,,
Agropyron,aucheri,Boiss.
Agropyron,trichophorum,(Link) Richt.
Agrostis,,
Agrostis,semiverticillata,(Forssk.) Christ.
Ailanthus,,
Ailanthus,altissima,(Mill.) Swingle
Ailanthus,glandulosa,Desf.
Ainsworthia,,
Ainsworthia,cordata,(Jacqu.) Boiss.
Ainsworthia,trachycarpa,Boiss.
Alcea,,
Alcea,acaulis,(Cav.) Alef.
Alcea,apterocarpa,Fenzl
Alcea,chrysantha,(Sam.) Zoh.
Alcea,damascena,(Mout.) Mout.
Alcea,digitata,(Boiss.) Alef.
Alcea,dissecta,(^aker) Zoh.
Alcea,galilaea,Zoh.
Alcea,haussknechtii,Boiss.
Alcea,hohenackeri,(Boiss. et Huet) Boiss.
Alcea,kurdica,(Schlecht.) Alef.
Alcea,lavateriflora,(D.C.) Boiss.
Alcea,leiocarpa,(Sam.) Mout.
Alcea,pallida,Waldst. et Kit.
Alcea,remotiflora,(Boiss. et Heldr.) Alef.
Alcea,rhyticarpa,(Trautv.) Iljin
Alcea,rosea,L.
Alcea,rufescens,Boiss.
Alcea,setosa,(Boiss.) Alef.
Alcea,striata,(D.C.) Alef.
Alcea,sulphured,'(Boiss. et Hausskn.) Alef.
Alchemilla,,
Alchemilla,aphanes,Desf.
Alchemilla,arvensis,(L.) Scop.
Alchemilla,diademata,Rothm.
Alchemilla,noribunda,Murb.
Alchemilla,microcarpa,Boiss. et Reut.
Alhagi,,
Alhagi,camelorum,Fisch.
Alhagi,mannifera,Desf.
Alhagi,maurorum,Willd.
Alhagi,pseudalhâgi,(Bieb.) Desf.
Alliaria,,
Alliaria,officinalis,Andrz.
Alliaria,petiolata,(Bieb.) Cav. et Grande
Allium,,
Allium,asclepiadeum,Bornm.
Allium,birkinshawii,Moût.
Allium,myrianthum,Boiss.
Allium,orientale,Boiss.
Alopecurus,,
Alopecurus,anthoxanthoides,Boiss.
Alopecurus,arundinaceus,Poir.
Alopecurus,utriculatus,Banks et Sol.
Alopecurus,ventricosus,Pers.
Althaea,,
Althaea,acaulis,Cav.
Althaea,apterocarpa,Fenzl
Althaea,bertrami,Post et Beauv.
Althaea,cannabina,L.
Althaea,chrysantha,Sam.
Althaea,damascena,Moût.
Althaea,digitala,Boiss.
Althaea,disserta,Baker
Althaea,haussknechtii,(Boiss.) Benth.
Althaea,hirsuta,L.
Althaea,hohenackeri,"Boiss, et Huet"
Althaea,kotschyi,Boiss.
Althaea,kurdica,Schlecht.
Althaea,leiocarpa,Sam. ex Rech. fil.
Althaea,ludwigii,L.
Althaea,octaviae,Reut. ex Oppenh.
Althaea,officinalis,L.
Althaea,pallida,Waldst. et Kit.
Althaea,remotiflora,Boiss. et Heldr.
Althaea,rhyticarpa,Trautv.
Althaea,rosea,(L.) Cav.
Althaea,rufescens,Boiss.
Althaea,setosa,Boiss.
Althaea,striata,D.C.
Althaea,sulphurea,Boiss. et Hausskn.
Alyssum,,
Alyssum,alpestre,L.
Alyssum,alyssoides,L.
Alyssum,antilibanoticum,Rech. fil.
Alyssum,argenteum,Ung.
Alyssum,aureum,(Fenzl) Boiss.
Alyssum,baumgartnerianum,Bornm.
Alyssum,calycinum,L. -
Alyssum,campestre,L.
Alyssum,cassium,Boiss.
Alyssum,clypeatum,L.
Alyssum,condensation,Boiss. et Hoh.
Alyssum,contemptum,Schott et Ky
Alyssum,crenulatum,Boiss.
Alyssum,damascenum,Boiss. et Gaill.
Alyssum,dasycarpum,Steph.
Alyssum,degenianum,Nyaradi
Alyssum,desertorum,Stapf
Alyssum,dubertretii,Gombault
Alyssum,filifolium,Wahlenb.
Alyssum,flexibile,Nyaradi
Alyssum,haradjianii,Rech. fil.
Alyssum,hirsutum,Auct.
Alyssum,homalocarpum,(F. et M.) Boiss.
Alyssum,iranicum,Bornm.
Alyssum,lepidoto-stellatum,(Hausskn.) Dudley
Alyssum,libanoticum,Nyaradi
Alyssum,macrostylum,Boiss. et Huet
Alyssum,marginatum,Steud.
Alyssum,maritimum,(L.) Lam.
Alyssum,meniocoides,Boiss.
Alyssum,minimum,L. Willd.
Alyssum,minimum,L. Willd.
Alyssum,minus,(L.) Rothm.
Alyssum,minutum,Schlecht.
Alyssum,montanum,Auct.
Alyssum,mouradicum,Boiss. et Bal.
Alyssum,murale,Waldst. et Kit.
Alyssum,oxycarpum,Boiss. et Bal.
