page_num,genus,epithet,infra,author,misc.
555,Aaronsohnia,,,Warburg et Eig ,
555,Aaronsohnia,factorovskyi,,Warb. et Eig in Eig ,
555,Acantholepis,,,Less.' ,
555,Acantholepis,orientalis,,Less. ,
555,Acantholimon,,,Boiss. ,
555,Acantholimon,acerosum,,(Willd.) Boiss. ,
555,Acantholimon,agropyroideum,,Mobayen ,
555,Acantholimon,androsaceum,,(Jaub. et Spach) Boiss. ,
555,Acantholimon,antilibanoticum,,Mout. ,
555,Acantholimon,baltanense,,Boiss. et Hausskn. ,
555,Acantholimon,damassanum,,Mobayen ,
555,Acantholimon,echinus,,auct. ,
555,Acantholimon,laxiflorum,,Boiss. ex Bunge ,
555,Acantholimon,libanoticum,,Boiss. ,
555,Acantholimon,libanoticum,ulicinum,(Willd.) Boiss. ,var.
555,Acantholimon,ulicinum,,(Schultes) Boiss. ,
555,Acanthus,,,L. ,
555,Acanthus,dioscoridis,,L. ,
555,Acanthus,mollis,,L. ,
555,Acanthus,raddei,,Trautv. ,
555,Acanthus,syriacus,,Boiss. ,
555,Achillea,,,L. ,
555,Achillea,aleppica,,DC. ,
555,Achillea,aleppica,aleppica,,subsp.
555,Achillea,argentea,,Lam. ,
555,Achillea,biebersteinii,,Afan. ,
555,Achillea,conferta,,DC. ,
555,Achillea,damascena,,DC. ,
555,Achillea,eriophora,,auct. non DC. ,
555,Achillea,falcata,,L. ,
555,Achillea,fragrantissima,,(Forssk.) Schultz Bip. ,
555,Achillea,gossypina,,Hand.-Mazz. ,
555,Achillea,imbricata,,DC. ,
555,Achillea,kotschyi,,Boiss. ,
555,Achillea,Krascheninnikovii,,Afan. ,
555,Achillea,membranacea,,(Labili.). DC. ,
555,Achillea,membranacea,,Rech. fil. non (Labili.) ,
555,Achillea,DC.,,,
555,Achillea,micrantha,,Willd. non Willd. ,
555,Achillea,odorata,,W. Koch ,
555,Achillea,odorata,kotschyi,(Boiss.) Bornm. ,subsp.
555,Achillea,odorata,grata,Fenzl ,var.
555,Achillea,oligocephala,,DC. ,
555,Achillea,santohna,,"auct. mult, non L. ",
555,Achillea,sulphurea,,Boiss. ,
555,Achillea,teretifolia,,Ledeb. non Willd. ,
555,Achillea,urumoffii,,Hal. ,
555,Achillea,wilhelmsii,,C. Koch ,
555,Acinos,,,Miller ,
555,Acinos,rotundifolius,,Pers. non Friv. nee Host ,
555,Aetheorhiza,,,Cass. ,
555,Aetheorhiza,bulbosa,,(L.) Cass. ,
555,Ajuga,,,L. ,
555,Ajuga,chamaepitys,,(L.) Schreb. ,
555,Ajuga,chasmophila,,Davis ,
555,Ajuga,chia,,Schreb. ,
555,Ajuga,chia,suffrutescens,Boiss. ,var.
555,Ajuga,chia,tridactylites,(Benth.) Boiss. ,var.
555,Ajuga,glabra,,sensu Benth. non C. Presl ,
555,Ajuga,laevigata,,Boiss. ,
555,Ajuga,orientalis,,L. ,
555,Ajuga,palaestina,,Boiss. ,
555,Ajuga,rechingeri,,Bilik ,
555,Ajuga,tridactylites,,Gingins ex Benth. ,
555,Ajuga,vestita,,Boiss. ,
555,Alkanna,,,Tausch ,
555,Alkanna,auranitica,,Mouterde ,
555,Alkanna,confusa,,Sam. ex Rech. fil. ,
555,Alkanna,galilaea,,Boiss. ,
555,Alkanna,hirsutissima,,(Bertol.) A. DC. ,
555,Alkanna,kotschyana,,DC. ,
555,Alkanna,leiocarpa,,Rech. fil. ,
555,Alkanna,maleolens,,Bornm. ,
555,Alkanna,macrophylla,,auct. ,
555,Alkanna,macrophylla,,Boiss. et Heldr. ,
555,Alkanna,orientalis,,(L.) Boiss. ,
555,Alkanna,orientalis,integrifolia,(Post) Mout. ,subsp.
555,Alkanna,orientalis,integrifolia,Post ,var.
555,Alkanna,prasinophylla,,Rech. fil. ,
555,Alkanna,strigosa,,Boiss. et Hohen. ,
555,Alkanna,syriaca,,Boiss. ,
555,Alkanna,tinctoria,,Tausch ,
555,Amaracus,,,Hill ,
555,Amaracus,libanoticus,,(Boiss.) Briq. ,
555,Ambrosia,,,L. ,
555,Ambrosia,maritima,,L. ,
555,Anacyclus,,,L. ,
555,Anacyclus,clavatus,,(Desf.) Pers. ,
556,Anacyclus,nigellifolius,,Boiss. ,
556,Anacyclus,radiatus,,Loisel. ,
556,Anagallis,,,L. ,
556,Anagallis,arvensis,,L. ,
556,Anagallis,arvensis,arvensis,,var.
556,Anagallis,arvensis,caerulea,(L.) Gouan ,var.
556,Anagallis,caerulea,,L. ,
556,Anagallis,latifolia,,L. ,
556,Anagallis,phoenicea,,Scop. ,
556,Anarrhinum,,,Desf. ,
556,Anarrhinum,orientale,,Benth. ,
556,Anchusa,,,L. ,
556,Anchusa,aegyptiaca,,(L.) DC. ,
556,Anchusa,aggregata,,Lehm. ,
556,Anchusa,azurea,,Mill. ,
556,Anchusa,aucheri,,A. DC. ,
556,Anchusa,barrelieri,,(AH.) Vitm. ,
556,Anchusa,dinsmorei,,Rech. f. ,
556,Anchusa,hispida,,Forssk. ,
556,Anchusa,hybrida,,Ten. ,
556,Anchusa,italica,,Retz ,
556,Anchusa,milleri,,Willd. ,
556,Anchusa,neglecta,,A. DC. ,
556,Anchusa,orientalis,,L. ,
556,Anchusa,palmyrensis,,Post ,
556,Anchusa,spinocarpos,,Forssk. ,
556,Anchusa,strigosa,,Labili. ,
556,Anchusa,strigosa,mesopotamica,Post ,var.
556,Anchusa,tiberiadis,,Post ,
556,Anchusa,ventricosa,,Sra. ,
556,Androsace,,,L. ,
556,Androsace,maxima,,L. ,
556,Androsace,multiscapa,,Duby ,
556,Androsace,villosa,,L. ,
556,Andryala,,,L. ,
556,Andryala,dentata,,Sibth. et Sm. ,
556,Andryala,integrifolia,,L. ,
556,Anoplanthus,,,Endl. ,
556,Anoplanthus,coccineus,,(M. Bieb.) Walp. ,
556,Anthémis,,,L. ,
556,Anthémis,aaronsohnii,,Eig ,
556,Anthémis,alexandrettae,,Eig ,
556,Anthémis,altissima,,L. ,
556,Anthémis,amblyolepis,,Eig ,
556,Anthémis,antilibanotica,,Eig ,
556,Anthémis,austriaca,,Jacq. ,
556,Anthémis,blancheana,,Boiss. ,
556,Anthémis,blancheana,coronifera,Eig ,var.
556,Anthémis,bornmălleri,,Stoj. et Acht. ,
556,Anthémis,breviradiata,,Eig ,
556,Anthémis,cassia,,Boiss. ,
556,Anthémis,chia,,L. ,
556,Anthémis,clavata,,Desf. ,
556,Anthémis,coelopoda,,Boiss. ,
556,Anthémis,coelopoda,bourgaei,Boiss. ,var.
556,Anthémis,cornucopiae,,Boiss. ,
556,Anthémis,corymbulosa,,Boiss. ,
556,Anthémis,cota,,L. ,
556,Anthémis,cotula,,L. ,
556,Anthémis,eretica,,L. ,
