page_num,genus,epithet,infra,author,taxon rank
555,Aaronsohnia,,,Warburg et Eig ,genus
555,Aaronsohnia,factorovskyi,,Warb. et Eig in Eig ,species
555,Acantholepis,,,Less.' ,genus
555,Acantholepis,orientalis,,Less. ,species
555,Acantholimon,,,Boiss. ,genus
555,Acantholimon,acerosum,,(Willd.) Boiss. ,species
555,Acantholimon,agropyroideum,,Mobayen ,species
555,Acantholimon,androsaceum,,(Jaub. et Spach) Boiss. ,species
555,Acantholimon,antilibanoticum,,Mout. ,species
555,Acantholimon,baltanense,,Boiss. et Hausskn. ,species
555,Acantholimon,damassanum,,Mobayen ,species
555,Acantholimon,echinus,,auct. ,species
555,Acantholimon,laxiflorum,,Boiss. ex Bunge ,species
555,Acantholimon,libanoticum,,Boiss. ,species
555,Acantholimon,libanoticum,ulicinum,(Willd.) Boiss. ,var.
555,Acantholimon,ulicinum,,(Schultes) Boiss. ,species
555,Acanthus,,,L. ,genus
555,Acanthus,dioscoridis,,L. ,species
555,Acanthus,mollis,,L. ,species
555,Acanthus,raddei,,Trautv. ,species
555,Acanthus,syriacus,,Boiss. ,species
555,Achillea,,,L. ,genus
555,Achillea,aleppica,,DC. ,species
555,Achillea,aleppica,aleppica,,subsp.
555,Achillea,argentea,,Lam. ,species
555,Achillea,biebersteinii,,Afan. ,species
555,Achillea,conferta,,DC. ,species
555,Achillea,damascena,,DC. ,species
555,Achillea,eriophora,,auct. non DC. ,species
555,Achillea,falcata,,L. ,species
555,Achillea,fragrantissima,,(Forssk.) Schultz Bip. ,species
555,Achillea,gossypina,,Hand.-Mazz. ,species
555,Achillea,imbricata,,DC. ,species
555,Achillea,kotschyi,,Boiss. ,species
555,Achillea,Krascheninnikovii,,Afan. ,species
555,Achillea,membranacea,,(Labili.). DC. ,species
555,Achillea,membranacea,,Rech. fil. non (Labili.) ,species
555,Achillea,micrantha,,Willd. non Willd. ,species
555,Achillea,odorata,,W. Koch ,species
555,Achillea,odorata,kotschyi,(Boiss.) Bornm. ,subsp.
555,Achillea,odorata,grata,Fenzl ,var.
555,Achillea,oligocephala,,DC. ,species
555,Achillea,santohna,,"auct. mult, non L. ",species
555,Achillea,sulphurea,,Boiss. ,species
555,Achillea,teretifolia,,Ledeb. non Willd. ,species
555,Achillea,urumoffii,,Hal. ,species
555,Achillea,wilhelmsii,,C. Koch ,species
555,Acinos,,,Miller ,genus
555,Acinos,rotundifolius,,Pers. non Friv. nee Host ,species
555,Aetheorhiza,,,Cass. ,genus
555,Aetheorhiza,bulbosa,,(L.) Cass. ,species
555,Ajuga,,,L. ,genus
555,Ajuga,chamaepitys,,(L.) Schreb. ,species
555,Ajuga,chasmophila,,Davis ,species
555,Ajuga,chia,,Schreb. ,species
555,Ajuga,chia,suffrutescens,Boiss. ,var.
555,Ajuga,chia,tridactylites,(Benth.) Boiss. ,var.
555,Ajuga,glabra,,sensu Benth. non C. Presl ,species
555,Ajuga,laevigata,,Boiss. ,species
555,Ajuga,orientalis,,L. ,species
555,Ajuga,palaestina,,Boiss. ,species
555,Ajuga,rechingeri,,Bilik ,species
555,Ajuga,tridactylites,,Gingins ex Benth. ,species
555,Ajuga,vestita,,Boiss. ,species
555,Alkanna,,,Tausch ,genus
555,Alkanna,auranitica,,Mouterde ,species
555,Alkanna,confusa,,Sam. ex Rech. fil. ,species
555,Alkanna,galilaea,,Boiss. ,species
555,Alkanna,hirsutissima,,(Bertol.) A. DC. ,species
555,Alkanna,kotschyana,,DC. ,species
555,Alkanna,leiocarpa,,Rech. fil. ,species
555,Alkanna,maleolens,,Bornm. ,species
555,Alkanna,macrophylla,,auct. ,species
555,Alkanna,macrophylla,,Boiss. et Heldr. ,species
555,Alkanna,orientalis,,(L.) Boiss. ,species
555,Alkanna,orientalis,integrifolia,(Post) Mout. ,subsp.
555,Alkanna,orientalis,integrifolia,Post ,var.
555,Alkanna,prasinophylla,,Rech. fil. ,species
555,Alkanna,strigosa,,Boiss. et Hohen. ,species
555,Alkanna,syriaca,,Boiss. ,species
555,Alkanna,tinctoria,,Tausch ,species
555,Amaracus,,,Hill ,genus
555,Amaracus,libanoticus,,(Boiss.) Briq. ,species
555,Ambrosia,,,L. ,genus
555,Ambrosia,maritima,,L. ,species
555,Anacyclus,,,L. ,genus
555,Anacyclus,clavatus,,(Desf.) Pers. ,species
556,Anacyclus,nigellifolius,,Boiss. ,species
556,Anacyclus,radiatus,,Loisel. ,species
556,Anagallis,,,L. ,genus
556,Anagallis,arvensis,,L. ,species
556,Anagallis,arvensis,arvensis,,var.
556,Anagallis,arvensis,caerulea,(L.) Gouan ,var.
556,Anagallis,caerulea,,L. ,species
556,Anagallis,latifolia,,L. ,species
556,Anagallis,phoenicea,,Scop. ,species
556,Anarrhinum,,,Desf. ,genus
556,Anarrhinum,orientale,,Benth. ,species
556,Anchusa,,,L. ,genus
556,Anchusa,aegyptiaca,,(L.) DC. ,species
556,Anchusa,aggregata,,Lehm. ,species
556,Anchusa,azurea,,Mill. ,species
556,Anchusa,aucheri,,A. DC. ,species
556,Anchusa,barrelieri,,(AH.) Vitm. ,species
556,Anchusa,dinsmorei,,Rech. f. ,species
556,Anchusa,hispida,,Forssk. ,species
556,Anchusa,hybrida,,Ten. ,species
556,Anchusa,italica,,Retz ,species
556,Anchusa,milleri,,Willd. ,species
556,Anchusa,neglecta,,A. DC. ,species
556,Anchusa,orientalis,,L. ,species
556,Anchusa,palmyrensis,,Post ,species
556,Anchusa,spinocarpos,,Forssk. ,species
556,Anchusa,strigosa,,Labili. ,species
556,Anchusa,strigosa,mesopotamica,Post ,var.
556,Anchusa,tiberiadis,,Post ,species
556,Anchusa,ventricosa,,Sra. ,species
556,Androsace,,,L. ,genus
556,Androsace,maxima,,L. ,species
556,Androsace,multiscapa,,Duby ,species
556,Androsace,villosa,,L. ,species
556,Andryala,,,L. ,genus
556,Andryala,dentata,,Sibth. et Sm. ,species
556,Andryala,integrifolia,,L. ,species
556,Anoplanthus,,,Endl. ,genus
556,Anoplanthus,coccineus,,(M. Bieb.) Walp. ,species
556,Anthémis,,,L. ,genus
556,Anthémis,aaronsohnii,,Eig ,species
556,Anthémis,alexandrettae,,Eig ,species
556,Anthémis,altissima,,L. ,species
556,Anthémis,amblyolepis,,Eig ,species
556,Anthémis,antilibanotica,,Eig ,species
556,Anthémis,austriaca,,Jacq. ,species
556,Anthémis,blancheana,,Boiss. ,species
556,Anthémis,blancheana,coronifera,Eig ,var.
556,Anthémis,bornmălleri,,Stoj. et Acht. ,species
556,Anthémis,breviradiata,,Eig ,species
556,Anthémis,cassia,,Boiss. ,species
556,Anthémis,chia,,L. ,species
556,Anthémis,clavata,,Desf. ,species
556,Anthémis,coelopoda,,Boiss. ,species
556,Anthémis,coelopoda,bourgaei,Boiss. ,var.
556,Anthémis,cornucopiae,,Boiss. ,species
556,Anthémis,corymbulosa,,Boiss. ,species
556,Anthémis,cota,,L. ,species
556,Anthémis,cotula,,L. ,species
556,Anthémis,eretica,,L. ,species
556,Anthémis,eretica,cassia,(Boiss.) Grierson ,subsp.
556,Anthémis,eretica,discoidea,Post ,var.
556,Anthémis,deltawensis,,Eig ,species
556,Anthémis,deserti-syriaci,,Eig ,species
556,Anthémis,didymaea,,Mouterde ,species
556,Anthémis,discoidea,,(All.) Willd. ,species
556,Anthémis,emasensis,,Eig ,species
556,Anthémis,halophila,,Boiss. et Bal. ,species
556,Anthémis,haussknechtii,,Boiss. et Reut. ,species
556,Anthémis,hebronica,,Boiss. et Ky. ,species
556,Anthémis,hermonis,,Eig ,species
556,Anthémis,hyalina,,DC. ,species
556,Anthémis,leucanthemifolia,,Boiss. et Bl. ,species
556,Anthémis,leucolepis,,Eig ,species
556,Anthémis,libanotica,,DC. ,species
556,Anthémis,lyonnetioides,,Boiss. ,species
556,Anthémis,melanolepis,,Boiss. ,species
556,Anthémis,melanolepis,,sensu Eig non Boiss. ,species
556,Anthémis,membranacea,,Labili. ,species
556,Anthémis,mixta,,L. ,species
556,Anthémis,palestina,,Reut. in Boiss. ,species
556,Anthémis,palestina,,Reuter p.p. in Boiss. ,species
556,Anthémis,patentissima,,Eig ,species
556,Anthémis,pauciloba,,Boiss. ,species
556,Anthémis,philistea,,Boiss. ,species
556,Anthémis,pseudocotula,,Boiss. ,species
556,Anthémis,rascheyana,,Boiss. ,species
556,Anthémis,rotata,,Boiss. ,species
556,Anthémis,samuelssonii,,Rech. fii. ,species
556,Anthémis,scariosa,,Banks et Sol. ,species
556,Anthémis,secundiramea,,Biv. ,species
556,Anthémis,secundiramea,urvilleana,DC. ,var.
556,Anthémis,syriaca,,Bornm. ,species
556,Anthémis,tinctoria,,L. ,species
556,Anthémis,tinctoria,discoidea,(AH.) Vahl ,var.
556,Anthémis,tomentosa,,Gouan ,species
556,Anthémis,tricomis,,Eig ,species
556,Anthémis,tripolitana,,Boiss. et Bl. ,species
556,Anthémis,tubicina,,Boiss. ,species
556,Anthémis,wettsteiniana,,Hand.-Mazz. ,species
556,Antirrhinum,,,L. ,genus
556,Antirrhinum,aegyptiacum,,L. ,species
556,Antirrhinum,albifrons,,Sibth. et Sm. ,species
556,Antirrhinum,arvense,,L. ,species
556,Antirrhinum,ascalonica,,Boiss. et Ky ,species
556,Antirrhinum,chalepense,,L. ,species
556,Antirrhinum,cymbalaria,,L. ,species
556,Antirrhinum,clatine,,L. ,species
556,Antirrhinum,genistifolium,,L. ,species
556,Antirrhinum,majus,,L. ,species
556,Antirrhinum,majus,angustifolium,Chav. ,var.
